Date,b_LS,b_LS_error,b_ML,b_ML_error,D_2,D_2_error
Jan-1982,1.6632393565793,0.175323139399765,2.17147240951626,0.339436894919941,0.213154693353664,0.0179892158855442
Feb-1982,1.23052857681807,0.0917388935230625,1.50262225806188,0.186430949590508,0.393315731542173,0.0261915826235889
Mar-1982,0.962825020436723,0.0649561313182598,1.23083459156912,0.131542063613878,0.932646348216608,0.0812305050425248
Apr-1982,1.11096141596961,0.0989072571653269,1.65071205791281,0.235631432586815,0.699078630748271,0.0180450812075375
May-1982,1.14258769067643,0.266772782302881,1.88998524531971,0.23275686031278,0.696864138769358,0.0394742689498701
Jun-1982,1.03241618737898,0.14871261366478,1.29078236107468,0.136091379183256,0.457956487885249,0.0466077325987971
Jul-1982,1.30224096968765,0.0653804308236918,1.59241310031192,0.245315112200144,0.307882910053367,0.0189993233279978
Aug-1982,1.0030659459266,0.0634066428618354,1.37264059047142,0.212776683476321,0.369337953444626,0.0447753401836703
Sep-1982,1.01232030258503,0.0938142279533339,1.06882442586782,0.12136412885108,0.495792818564825,0.0201881514208814
Oct-1982,1.12177296966513,0.0390848507839976,1.1990063940586,0.08131893500705,1.27876462767187,0.0991752990315319
Nov-1982,1.17294108564324,0.170157466733666,1.69405648969354,0.249844093933921,0.399704120871545,0.0131297494172369
Dec-1982,1.37652083250787,0.0669934318682854,1.35717025594766,0.132321283828158,0.259370436701446,0.0329624112384639
Jan-1983,1.24404271416454,0.078131538677198,1.59241310031192,0.149843685794222,0.690675489066217,0.0791465258924192
Feb-1983,0.870336112716877,0.124035802461051,1.50555420393127,0.285496941083553,0.286673318180111,0.0139780742178823
Mar-1983,1.31222306401163,0.0725692207936306,1.58827696238904,0.212427930984773,0.452276857729732,0.0321504210224432
Apr-1983,1.18483915891404,0.170976158903812,1.07844938459197,0.151452152548334,0.142222452205187,0.0177266246360133
May-1983,0.901105211739228,0.228977679192145,0.485354944245883,0.0197468198025974,1.43575207906223,0.0483210493466844
Jun-1983,1.05391604863323,0.0749867947912254,0.973107967750025,0.116964516846547,0.367554961069977,0.0622831408524227
Jul-1983,1.23169724851687,0.124320280687236,0.929733606388833,0.0517101267343138,1.51933006724928,0.0274290573425921
Aug-1983,1.10220991567089,0.0489489856385216,0.987032913416481,0.0758849964805353,0.972155009900709,0.111596838951735
Sep-1983,1.23069126388434,0.159758957565494,1.12594865678621,0.101563630528124,1.05667092349967,0.0417023967538627
Oct-1983,1.13532823973624,0.0318117491901001,1.21129753456009,0.0948058032987485,0.987577862603928,0.0465137316625483
Nov-1983,1.40044861932443,0.0946762486093911,1.31366728160352,0.101891654713282,0.772592686525616,0.0357832034670837
Dec-1983,1.36502360626981,0.0898364040351349,1.18901969523396,0.0984959064258897,0.690974662824858,0.0162073639244753
Jan-1984,1.45171839105967,0.0960620502262856,1.40812204030065,0.14391738885106,0.624080636996452,0.0262125759187463
Feb-1984,0.991705366825828,0.0717492925709902,1.35147583529334,0.168694173313234,0.41748019083487,0.0453139156070317
Mar-1984,1.34690752964209,0.0797476907933292,1.38821403306318,0.132892302139076,0.571446277915677,0.0454229936498645
Apr-1984,1.20507375428521,0.101174380150393,1.34864090498607,0.119902727100836,0.874070336794615,0.093859953553866
May-1984,0.947726615640172,0.0876190820369554,1.39031566813912,0.187172906935081,0.550930392205418,0.0559254933526454
Jun-1984,1.0281836416767,0.0914722572127086,1.35272051740357,0.180344739867335,0.220006431384528,0.00829381167233132
Jul-1984,1.2736015851214,0.10304367745122,1.36492551455308,0.170031951699738,0.251059726765363,0.0246442879769265
Aug-1984,1.07144133164108,0.0255990231845411,1.30911733779449,0.175877861183959,0.225534147652217,0.0323247718713027
Sep-1984,0.933512078680299,0.0860010423425023,1.13788947223559,0.166230548818705,0.314294526336722,0.0179314442660413
Oct-1984,0.85540353158379,0.0776728938082444,1.13844184576581,0.141019546084032,0.335610499487779,0.0124471152132308
Nov-1984,1.17250922358005,0.0317654266502775,1.31148333644051,0.160050107676426,0.27679793744328,0.0120397299508356
Dec-1984,1.48340446053153,0.168373750651011,2.40413016767872,0.384065050655012,0.576242180792551,0.0250554736012891
Jan-1985,1.09189369502257,0.0662535639797079,1.31107768121736,0.149988375476454,0.32686816800973,0.054787666406783
Feb-1985,1.20568681138094,0.093192170559282,1.3752658593603,0.177041035581813,0.34746464366367,0.0433829464727291
Mar-1985,1.30516522996825,0.09181001491995,1.73039207633327,0.288254887188472,0.189440347269454,0.0208441633008245
Apr-1985,1.02192010594249,0.0427050586734681,1.34236476224641,0.221926894416813,0.222695227489337,0.0141316464783589
May-1985,0.915860120055293,0.0639527971502575,1.13977737332075,0.164076081731406,0.2807048169603,0.0158285600492462
Jun-1985,0.917343075678044,0.110978464110113,1.11221757560589,0.154609642647179,0.595039557492289,0.0280034750233078
Jul-1985,1.10730003655382,0.0576585118198402,1.74308669607428,0.308465034139082,0.163317426244945,0.0210277376141666
Aug-1985,0.985138839068622,0.142613264491487,1.15732320726965,0.0922034515542588,1.37240370651997,0.0157031953849675
Sep-1985,1.60843103691666,0.0939319410563172,1.51058950227218,0.181936406493045,0.211925525547068,0.0304465406451575
Oct-1985,1.25324710588921,0.0453101219640764,1.42808545851069,0.184240865744122,0.341261445928141,0.02182105064516
Nov-1985,1.06528781251427,0.183976497397938,1.4263593278195,0.193591267802483,0.296493562177021,0.0322703678536586
Dec-1985,1.57497571882649,0.111521879512203,1.59037415908233,0.212008533945263,0.102192726586597,0.00709358947603066
